num_listings,median_price
38,25.0
11,89.99
37,40.0
5,40.0
8,117.5
28,74.44
21,46.78
6,97.475
1,100.0
9,30.0
2,20.494999999999997
11,22.48
14,59.989999999999995
22,80.0
8,57.5
6,175.0
9,45.0
10,20.0
16,49.995000000000005
25,35.0
8,77.0
24,29.744999999999997
20,25.0
4,39.495000000000005
2,30.5
34,27.0
39,10.0
6,60.0
1,49.0
8,14.975
3,278.99
52,59.5
2,65.0
6,55.0
16,49.98
0,0.0
2,9.5
1,40.0
10,92.5
8,9.5
8,13.5
82,29.994999999999997
2,117.5
29,40.0
16,70.5
2,55.0
9,50.0
16,78.17
15,50.0
2,99.995
15,35.0
2,63.495000000000005
5,39.99
10,40.0
27,26.49
18,77.495
28,24.994999999999997
33,20.0
1,60.0
16,72.0
10,8.5
28,47.5
9,50.0
8,27.5
8,36.5
13,65.0
2,14.0
11,60.0
52,25.0
29,30.0
7,60.0
1,110.0
39,20.0
14,130.0
21,30.0
49,24.0
6,77.5
7,64.99
3,23.99
58,25.0
