Name,id,usersrated,average,baverage,avgweight,numweights,numgeeklists,numtrading,numwanting,numwish,numowned,numplays,numplays_month,numfans,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,minage,categories,types
Detective: City of Angels,218074,978.0,7.99389,6.44567,2.3846,26.0,305.0,28.0,351.0,2018.0,2648.0,3307.0,46.0,236.0,2019.0,1.0,5.0,30.0,150.0,14.0,"[2001, 2046, 2023, 1040, 2019]",['thematic']
Ticket to Ride: London,276894,1898.0,7.25734,6.4458,1.1667,36.0,174.0,46.0,91.0,452.0,5082.0,9431.0,179.0,55.0,2019.0,2.0,4.0,10.0,15.0,8.0,"[2041, 2040, 2081, 2004, 1034]",['family']
Valley of the Kings: Afterlife,175223,1736.0,7.28763,6.44313,2.2963,54.0,454.0,145.0,77.0,342.0,3669.0,4021.0,9.0,62.0,2015.0,1.0,4.0,45.0,45.0,14.0,"[1050, 2041, 1002, 2664, 2040, 1082, 1115, 2004, 2819]",['strategy']
Keyper,212516,1603.0,7.34165,6.4409,3.5532,47.0,687.0,117.0,179.0,802.0,3032.0,3786.0,14.0,80.0,2017.0,2.0,4.0,90.0,120.0,14.0,"[2080, 1029, 1021, 1013, 1035, 2004, 2002, 2082]",['strategy']
Castell,238638,1374.0,7.49186,6.44004,3.2308,65.0,303.0,50.0,156.0,598.0,1944.0,3358.0,19.0,62.0,2018.0,2.0,4.0,60.0,90.0,12.0,"[2046, 2048, 2004, 1038]",['strategy']
Exit: The Game – The Polar Station,215842,2762.0,6.9614,6.43937,2.775,40.0,193.0,57.0,62.0,325.0,5466.0,3286.0,20.0,25.0,2017.0,1.0,4.0,45.0,90.0,12.0,"[2023, 1039, 1028, 1037]","['thematic', 'family']"
Nothing Personal,120523,2237.0,7.07797,6.43777,2.7757,107.0,1004.0,178.0,185.0,930.0,3269.0,3493.0,4.0,297.0,2013.0,3.0,5.0,120.0,120.0,8.0,"[2080, 2072, 2040, 1033, 1026, 2686]",['thematic']
Warrior Knights,22038,3817.0,6.86186,6.43709,3.5182,523.0,1727.0,342.0,181.0,993.0,5590.0,3974.0,2.0,191.0,2006.0,2.0,6.0,120.0,240.0,12.0,"[2046, 2012, 2018, 2026, 1035, 1026, 1001, 2020, 2985, 2017, 1019]","['thematic', 'strategy']"
Le Havre: The Inland Port,129051,3326.0,6.86308,6.4361,2.5,160.0,971.0,164.0,219.0,689.0,5328.0,6919.0,10.0,70.0,2012.0,2.0,2.0,30.0,30.0,10.0,"[2001, 1021, 1088]",['strategy']
Tides of Time,176229,6606.0,6.66334,6.43593,1.5795,195.0,1838.0,534.0,91.0,849.0,10421.0,21034.0,31.0,164.0,2015.0,2.0,2.0,15.0,20.0,8.0,"[1050, 2041, 1002, 1015, 2004]",['strategy']
Dice City,179572,4510.0,6.77557,6.43646,2.0388,103.0,1447.0,347.0,184.0,987.0,7707.0,13112.0,24.0,152.0,2015.0,1.0,4.0,45.0,60.0,14.0,"[1029, 1017, 2072, 1035, 2686]","['strategy', 'family']"
Kahuna,394,8339.0,6.63237,6.43619,2.0572,542.0,1742.0,401.0,202.0,1166.0,11811.0,16415.0,49.0,116.0,1998.0,2.0,2.0,30.0,40.0,10.0,"[1009, 2080, 2041, 2040, 2081, 2686]",['abstract']
Wallenstein (Second Edition),109125,1218.0,7.61109,6.43609,3.234,94.0,519.0,84.0,207.0,756.0,1814.0,1645.0,1.0,81.0,2012.0,3.0,5.0,90.0,120.0,12.0,"[2001, 2689, 2080, 2046, 2990, 1021, 2725, 1070, 2020, 1086, 2079]",['strategy']
Rallyman: GT,256589,1753.0,7.4437,6.43779,2.2273,66.0,322.0,32.0,220.0,1077.0,2507.0,15066.0,337.0,256.0,2020.0,1.0,6.0,45.0,60.0,14.0,"[2072, 2950, 2676, 2026, 2011, 2661, 2876, 1031, 2035, 2070, 2819]",['thematic']
